Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOGL,TSLA,AAPL,GOOGL,TSLA,AAPL,GOOGL,TSLA,AAPL,GOOGL,TSLA,AAPL,GOOGL,TSLA
Date,,,,,,,,,,,,,,,
26-01-23,141.9579773,96.85199738,160.2700043,142.2439377,96.90165791,161.4199982,139.9266128,94.7266567,154.7599945,141.1789553,95.83898758,159.9700012,54105100,30114000,234815100
27-01-23,143.900528,98.68933105,177.8999939,145.1824517,99.63282065,180.6799927,141.0901723,96.64343664,161.1699982,141.1690615,96.64343664,162.4299927,70555800,33879800,306590600
30-01-23,141.0112915,96.27598572,166.6600037,143.5258315,97.61673701,179.7700043,140.8633836,95.73968368,166.5,142.9440403,96.81228775,178.0500031,64015300,27226200,230878800
31-01-23,142.2833557,98.16294861,173.2200012,142.3326634,98.20267552,174.3000031,140.3013142,96.15678881,162.7799988,140.7154714,96.20644935,164.5700073,65874500,29870700,196813500
01-02-23,143.4075012,99.74207306,181.4100037,144.5710988,100.4968693,183.8099976,139.3546733,96.91159656,169.9299927,141.9678138,98.03385353,173.8899994,77663600,35531100,213806300
02-02-23,148.7225342,107.0019913,188.2700043,149.0775132,107.1112384,196.75,146.109379,104.8865843,182.6100006,146.8292226,105.0752852,187.3300018,118339000,69883800,217448300
03-02-23,152.3513336,104.0622711,189.9799957,155.1912856,107.0715148,199,145.7740966,101.8773438,183.6900024,145.9713122,102.2249449,183.9499969,154357300,65309300,232662000
06-02-23,149.6198883,102.1951447,194.7599945,150.970846,103.6451429,198.1699982,148.683103,101.1821273,189.9199982,150.4482179,101.6985696,193.0099945,69858300,31999600,186188100
07-02-23,152.4992676,106.9026794,196.8099976,153.0712033,107.4389814,197.5,148.5450403,102.4136442,189.5500031,148.5450403,102.5129577,196.4299927,83322600,49010200,186010300
08-02-23,149.8072357,98.68933105,201.2899933,152.4302465,102.4335037,203,149.067666,97.36843956,194.3099976,151.7399845,101.3509737,196.1000061,64120100,94743500,180673600
09-02-23,148.7718506,94.35919189,207.3200073,152.1837391,99.344802,214,148.3281117,92.98863993,204.7700043,151.6413849,99.31500871,207.7799988,56007100,119455000,215431400
10-02-23,149.1372528,93.92220306,196.8899994,149.4631621,96.08727055,206.1999969,147.369458,93.60439534,192.8899994,147.6064871,94.79617241,202.2299957,57450700,54980700,204754100
13-02-23,151.9420471,93.96192932,194.6399994,152.3469511,94.54788423,196.3000031,149.0483755,93.19719952,187.6100006,149.0780022,94.0910361,194.4199982,62199000,50076100,172475500
14-02-23,151.3000946,94.03146362,209.25,151.863033,94.20029734,209.8200073,148.9891176,91.6280419,189.4400024,150.2334864,93.78317607,191.9400024,61707600,54726100,216455700
15-02-23,153.4036865,96.27598572,214.2400055,153.5715765,96.45475306,214.6600037,150.9840731,93.50509567,206.1100006,151.2112165,93.84276311,211.7599945,65573800,50169000,181006400
16-02-23,151.803772,94.8557663,202.0399933,154.3912752,97.01090015,217.6499939,151.4482359,94.09103649,201.8399963,151.6062402,94.71672589,210.7799988,68167900,42462600,229586500
17-02-23,150.6581573,93.70372009,208.3099976,151.1025737,94.90543093,208.4400024,148.9792429,92.57152947,197.5,150.4606407,94.20029519,199.9900055,59144100,34284100,213738500
21-02-23,146.6386261,91.16124725,197.3699951,149.4236612,92.46227144,209.7100067,146.569502,91.09172705,197.2200012,148.3372968,92.36295795,204.9900055,58867200,33629300,180018600
22-02-23,147.0632935,91.0222168,200.8600006,148.0903892,91.47906498,201.9900055,145.3349961,89.98933969,191.7799988,147.0237811,91.07186976,197.9299927,51011300,30884000,191828500
23-02-23,147.5472107,90.26741791,202.0700073,148.4755557,91.31022861,205.1399994,145.4140094,89.14516095,196.3300018,148.2286561,91.29036137,203.9100037,48394200,41206400,146360000
24-02-23,144.8905792,88.51947784,196.8800049,145.3646223,89.27427415,197.6699982,143.9128513,87.97324976,192.8000031,145.2856126,88.82735957,196.3300018,55469600,36585100,142228100
27-02-23,146.0855865,89.25440216,207.6300049,147.3200848,89.5424166,209.4199982,145.621414,88.72802624,201.2599945,145.8781993,89.25440216,202.0299988,44998500,27502300,161028300
28-02-23,145.5818787,89.4431076,205.7100067,147.2311661,90.60509914,211.2299957,145.0090698,88.70817855,203.75,145.2263426,88.71811218,210.5899963,50547000,30142000,153144900
01-03-23,143.5079346,89.74105835,202.7700043,145.4041219,90.40646721,207.1999969,143.211652,89.05578224,198.5200043,145.0090885,89.36366398,206.2100067,55479000,31111200,156852800
02-03-23,144.1005096,91.36981201,190.8999939,144.8905915,91.64789284,193.75,142.1154269,88.97631656,186.0099945,142.5894851,89.04584434,186.7400055,52238100,32204400,181500700
03-03-23,149.1570129,93.00850677,197.7899933,149.2360226,93.0879606,200.4799957,145.5029012,91.81672213,192.8800049,146.2040877,91.846523,194.8000031,70732300,35160100,154193300
06-03-23,151.9223022,94.47837067,193.8099976,154.3616721,95.31262073,198.6000061,151.5568956,93.35611373,192.3000031,151.8827899,93.3759734,198.5399933,87558000,32639300,128100100
07-03-23,149.7199707,93.21707153,187.7100067,152.1198283,95.01467084,194.1999969,149.2557981,92.88933017,186.1000061,151.793919,94.3294024,191.3800049,56182000,27835500,148125800
08-03-23,150.9741821,93.60440063,182,151.5667473,95.30268646,186.5,149.9470863,93.3561131,180,150.9149286,93.47529384,185.0399933,47204800,34103300,151897800
09-03-23,148.7224579,91.6876297,172.9199982,152.623469,94.87564106,185.1799927,148.3669218,91.27050842,172.5099945,151.6556267,93.40578295,180.25,53833600,28813500,170023800
10-03-23,146.6583862,90.00919342,173.4400024,149.0681291,92.15440134,178.2899933,145.7794241,89.78077313,168.4400024,148.3471864,91.53864553,175.1300049,68572400,35941000,191488900
13-03-23,148.6039581,90.48591614,174.4799957,151.2408445,91.93591453,177.3500061,145.8683059,88.80748986,163.9100037,145.9769423,89.47289868,167.4600067,84457100,37335600,167790300
