Date,Close,High,Low,Open,Volume,Ticker,Return,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL,,,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,TSLA,TSLA,TSLA,TSLA,TSLA
2015-01-02,24.237550735473633,24.70532029541843,23.79860048379208,24.69423503534699,212818400.0,AAPL,,,,,,,,,,,
2015-01-05,23.55474281311035,24.08680322434,23.368522599435355,24.00699407808688,257142000.0,AAPL,-0.028171490173053537,,,,,,,,,,
2015-01-06,23.556964874267578,23.816343805330153,23.195606253927345,23.61903829113311,263188400.0,AAPL,9.433603987352157e-05,,,,,,,,,,
2015-01-07,23.88728141784668,23.98704200939966,23.654504449058404,23.76535030250549,160423600.0,AAPL,0.014022033200886685,,,,,,,,,,
2015-01-08,24.80508041381836,24.862720720656704,24.097883456887466,24.215381460812253,237458000.0,AAPL,0.038422078256505676,,,,,,,,,,
2015-01-09,24.831689834594727,25.106587091638215,24.432644065198065,24.97800548912445,214798000.0,AAPL,0.0010727407584434356,,,,,,,,,,
2015-01-12,24.21981430053711,24.96913151622689,24.12005372825121,24.962481036924252,198603200.0,AAPL,-0.024640914014847692,,,,,,,,,,
2015-01-13,24.43485450744629,25.00681938380781,24.144438980365567,24.70310120728101,268367600.0,AAPL,0.008878689334311352,,,,,,,,,,
2015-01-14,24.341753005981445,24.4947191519066,24.053553075986958,24.17326681499819,195826400.0,AAPL,-0.0038101925852053187,,,,,,,,,,
2015-01-15,23.681102752685547,24.399383248375585,23.645632967050208,24.38608229018397,240056000.0,AAPL,-0.02714061937665535,,,,,,,,,,
2015-01-16,23.497102737426758,23.849593418861012,23.321966091998515,23.7276623076852,314053200.0,AAPL,-0.0077699090781540026,,,,,,,,,,
2015-01-20,24.102325439453125,24.157748372604416,23.610169522449873,23.907235632281417,199599600.0,AAPL,0.025757333097171653,,,,,,,,,,
2015-01-21,24.28632354736328,24.62107675709558,24.00255678407537,24.153307189951693,194303600.0,AAPL,0.007634039643700463,,,,,,,,,,
2015-01-22,24.91814613342285,24.933664483967743,24.324012340403172,24.4437260551952,215185600.0,AAPL,0.026015571472865595,,,,,,,,,,
2015-01-23,25.04673194885254,25.217433833676097,24.72527793131336,24.895981507510562,185859200.0,AAPL,0.005160328330253039,,,,,,,,,,
2015-01-26,25.073328018188477,25.352660001314483,25.006821530740638,25.21521055439176,222460000.0,AAPL,0.001061857865938265,,,,,,,,,,
2015-01-27,24.195432662963867,24.935883840684372,24.171046439988512,24.92258118818741,382274800.0,AAPL,-0.03501311651120964,,,,,,,,,,
2015-01-28,25.563268661499023,26.18622347098334,25.563268661499023,26.07759332327218,585908400.0,AAPL,0.05653281830454371,,,,,,,,,,
2015-01-29,26.35913848876953,26.42342927258917,25.61868747113395,25.787173604889798,337745600.0,AAPL,0.03113333579555788,,,,,,,,,,
2015-01-30,25.97339630126953,26.602999818446985,25.904670734938115,26.24829349247566,334982000.0,AAPL,-0.014634096924842521,,,,,,,,,,
2015-02-02,26.299285888671875,26.418999610212815,25.733973065775352,26.1707059874969,250956400.0,AAPL,0.012547053285688836,,,,,,,,,,
2015-02-03,26.303714752197266,26.401257928588027,26.07315523199289,26.27046066624386,207662800.0,AAPL,0.0001684024252270877,,,,,,,,,,
2015-02-04,26.505455017089844,26.71606311438626,26.22834043488918,26.2704623926231,280598800.0,AAPL,0.00766964920328328,,,,,,,,,,
2015-02-05,26.694643020629883,26.7591875492115,26.541071497520225,26.712447061096544,168984800.0,AAPL,0.007137700651358658,,,,,,,,,,
2015-02-06,26.469850540161133,26.763638436784344,26.363017805912374,26.712447362487318,174826400.0,AAPL,-0.00842088355686299,,,,,,,,,,
2015-02-09,26.645671844482422,26.67237874794815,26.358560745887814,26.385269347401834,155559200.0,AAPL,0.006642323274720585,,,,,,,,,,
2015-02-10,27.157575607299805,27.186510351861603,26.743603296210924,26.745827739601534,248034000.0,AAPL,0.019211516444588517,,,,,,,,,,
2015-02-11,27.794118881225586,27.803021749787224,27.264410937172286,27.32450317740265,294247200.0,AAPL,0.023438884351469236,,,,,,,,,,
2015-02-12,28.145771026611328,28.372789901407252,27.947686895532566,28.056744050182502,297898000.0,AAPL,0.012652034298640036,,,,,,,,,,
2015-02-13,28.28376579284668,28.328278436550338,27.96549546602483,28.328278436550338,217088800.0,AAPL,0.004902859690888661,,,,,,,,,,
2015-02-17,28.450695037841797,28.68439069759659,28.24815857298114,28.375021494492632,252609600.0,AAPL,0.005901945526551433,,,,,,,,,,
2015-02-18,28.648773193359375,28.662126646062973,28.36611265877822,28.406174714937425,179566800.0,AAPL,0.006962155239234713,,,,,,,,,,
2015-02-19,28.588680267333984,28.717769308178198,28.56197336098585,28.595356993921015,149449600.0,AAPL,-0.002097574148107628,,,,,,,,,,
2015-02-20,28.822383880615234,28.822383880615234,28.499662887040277,28.626524123478262,195793600.0,AAPL,0.008174690510225568,,,,,,,,,,
2015-02-23,29.601362228393555,29.601362228393555,28.857990488247626,28.93811461207815,283896400.0,AAPL,0.027026853538725915,,,,,,,,,,
2015-02-24,29.416627883911133,29.734899896206425,29.194061278089517,29.588005121300906,276912400.0,AAPL,-0.006240737944999908,,,,,,,,,,
2015-02-25,28.66435432434082,29.28976939734613,28.52191181926601,29.280864830474275,298846800.0,AAPL,-0.02557307256763286,,,,,,,,,,
2015-02-26,29.027135848999023,29.1272901407614,28.179157638062435,28.66435120069195,365150000.0,AAPL,0.012656190352424712,,,,,,,,,,
2015-02-27,28.590906143188477,29.06052179210405,28.541941220848713,28.93365720347011,248059200.0,AAPL,-0.015028341345141305,,,,,,,,,,
2015-03-02,28.731122970581055,28.995977780785267,28.555296842347186,28.76673444336919,192386800.0,AAPL,0.004904245660852569,,,,,,,,,,
2015-03-03,28.79121208190918,28.826823548729973,28.50855158267579,28.7021868109536,151265200.0,AAPL,0.002091429262603306,,,,,,,,,,
2015-03-04,28.608713150024414,28.835732063722944,28.559751615792635,28.73335331565114,126665200.0,AAPL,-0.006338702634872351,,,,,,,,,,
2015-03-05,28.134641647338867,28.655446619377418,27.98997303353431,28.617610709042626,226068400.0,AAPL,-0.016570878256547572,,,,,,,,,,
2015-03-06,28.176923751831055,28.79343232327835,28.101251942951812,28.577542506814236,291368400.0,AAPL,0.0015028485175743178,,,,,,,,,,
2015-03-09,28.297121047973633,28.83795972189352,27.834182052567648,28.479625615655983,354114000.0,AAPL,0.004265806203729738,,,,,,,,,,
2015-03-10,27.711767196655273,28.31492246485523,27.553745118097947,28.13464406642544,275426400.0,AAPL,-0.02068598605229055,,,,,,,,,,
2015-03-11,27.206541061401367,27.769634295016655,27.177608014323546,27.765183710100228,275756000.0,AAPL,-0.018231465776563205,,,,,,,,,,
2015-03-12,27.698415756225586,27.79857175613911,27.070777942685456,27.22212331535712,193450800.0,AAPL,0.01807928077715304,,,,,,,,,,
2015-03-13,27.507003784179688,27.909850462961522,27.282212752989896,27.687283875056004,207309200.0,AAPL,-0.006910574732162278,,,,,,,,,,
2015-03-16,27.8096981048584,27.8096981048584,27.34676083218295,27.571551892676595,143497200.0,AAPL,0.011004263606958276,,,,,,,,,,
2015-03-17,28.274860382080078,28.33717875688107,27.965492951426334,28.021134600076984,204092400.0,AAPL,0.01672662088843091,,,,,,,,,,
2015-03-18,28.5931339263916,28.746705437477463,28.12574436427423,28.265960723494878,261083600.0,AAPL,0.01125641435574476,,,,,,,,,,
2015-03-19,28.37723731994629,28.766728812573003,28.354981002834393,28.655445528965373,183238000.0,AAPL,-0.007550645095465991,,,,,,,,,,
2015-03-20,28.021137237548828,28.577552078379163,27.85643841749427,28.544168444485248,274780400.0,AAPL,-0.012548793188798535,,,,,,,,,,
2015-03-23,28.31270408630371,28.45514661020074,28.159132550394887,28.292673902341075,150838800.0,AAPL,0.010405246806477919,,,,,,,,,,
